FL_DATE,MONTH,DAY_OF_WEEK,OP_CARRIER_FL_NUM,ORIGIN,DEST,DEP_DELAY,ARR_DELAY,CANCELLED,CANCELLATION_CODE,WEATHER_DELAY,NAS_DELAY,CARRIER_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DELAYED
3/8/2024 12:00:00 AM,3,5,433.0,TPA,SAN,-5.0,27.0,0.0,,0.0,27.0,0.0,0.0,0.0,True
2/28/2024 12:00:00 AM,2,3,1800.0,DAL,AMA,38.0,29.0,0.0,,0.0,0.0,0.0,0.0,29.0,True
3/1/2024 12:00:00 AM,3,5,1361.0,ATL,LAS,66.0,48.0,0.0,,0.0,18.0,12.0,0.0,18.0,True
7/15/2024 0:00,7,1,678.0,MSP,ATW,245.0,239.0,0.0,,0.0,0.0,239.0,0.0,0.0,True
2/10/2024 12:00:00 AM,2,6,3312.0,DAL,TPA,80.0,74.0,0.0,,0.0,0.0,3.0,0.0,71.0,True
1/20/2024 12:00:00 AM,1,6,280.0,DFW,FLL,36.0,21.0,0.0,,0.0,0.0,0.0,0.0,21.0,True
4/29/2024 12:00:00 AM,4,1,4399.0,ORF,LGA,-7.0,15.0,0.0,,0.0,15.0,0.0,0.0,0.0,True
10/24/2024 0:00,10,4,348.0,DFW,SNA,34.0,26.0,0.0,,0.0,0.0,26.0,0.0,0.0,True
3/17/2024 12:00:00 AM,3,7,413.0,DFW,IAD,102.0,94.0,0.0,,0.0,0.0,94.0,0.0,0.0,True
11/17/24 0:00,11,7,5552.0,SLC,SFO,30.0,41.0,0.0,,0.0,41.0,0.0,0.0,0.0,True
12/5/2024 12:00:00 AM,12,4,1636.0,JFK,TPA,36.0,47.0,0.0,,0.0,11.0,36.0,0.0,0.0,True
12/1/2024 12:00:00 AM,12,7,3236.0,DFW,SFO,36.0,17.0,0.0,,0.0,0.0,15.0,0.0,2.0,True
6/12/24 0:00,6,3,1537.0,CLT,FLL,,,1.0,B,,,,,,False
12/28/2024 12:00:00 AM,12,6,305.0,MIA,SEA,140.0,148.0,0.0,,0.0,8.0,0.0,0.0,140.0,True
1/29/2024 12:00:00 AM,1,1,4906.0,JFK,MSP,56.0,23.0,0.0,,0.0,23.0,0.0,0.0,0.0,True
6/17/2024 12:00:00 AM,6,1,247.0,KOA,HNL,16.0,19.0,0.0,,0.0,0.0,9.0,0.0,10.0,True
11/22/24 0:00,11,5,611.0,SFO,LAS,57.0,62.0,0.0,,0.0,5.0,22.0,0.0,35.0,True
1/16/2024 12:00:00 AM,1,2,3114.0,DFW,LCH,53.0,36.0,0.0,,0.0,0.0,36.0,0.0,0.0,True
10/7/2024 0:00,10,1,1419.0,CLT,FLL,-5.0,26.0,0.0,,0.0,26.0,0.0,0.0,0.0,True
7/17/2024 0:00,7,3,3196.0,BWI,TPA,34.0,94.0,0.0,,0.0,60.0,16.0,0.0,18.0,True
7/29/2024 0:00,7,1,3345.0,FAT,SEA,-3.0,48.0,0.0,,0.0,0.0,48.0,0.0,0.0,True
1/4/2024 12:00:00 AM,1,4,2416.0,SFO,JFK,104.0,105.0,0.0,,0.0,1.0,10.0,0.0,94.0,True
1/4/2024 12:00:00 AM,1,4,1952.0,DFW,MCO,-3.0,20.0,0.0,,0.0,20.0,0.0,0.0,0.0,True
12/21/2024 12:00:00 AM,12,6,2372.0,ATL,ROA,94.0,86.0,0.0,,0.0,0.0,26.0,0.0,60.0,True
2/21/2024 12:00:00 AM,2,3,1398.0,IAD,DEN,95.0,88.0,0.0,,0.0,0.0,88.0,0.0,0.0,True
6/12/2024 12:00:00 AM,6,3,966.0,PHX,SNA,50.0,36.0,0.0,,0.0,0.0,6.0,0.0,30.0,True
12/6/2024 12:00:00 AM,12,5,3372.0,SFO,LAX,100.0,100.0,0.0,,100.0,0.0,0.0,0.0,0.0,True
4/27/2024 12:00:00 AM,4,6,445.0,LAS,OMA,30.0,41.0,0.0,,0.0,11.0,28.0,0.0,2.0,True
6/30/2024 12:00:00 AM,6,7,344.0,MCO,MDW,18.0,48.0,0.0,,0.0,30.0,1.0,0.0,17.0,True
7/20/2024 0:00,7,6,2870.0,BWI,ECP,26.0,36.0,0.0,,0.0,10.0,19.0,0.0,7.0,True
8/29/2024 0:00,8,4,1338.0,BNA,MSY,67.0,53.0,0.0,,0.0,0.0,0.0,0.0,53.0,True
3/9/2024 12:00:00 AM,3,6,1679.0,CVG,TPA,19.0,49.0,0.0,,0.0,49.0,0.0,0.0,0.0,True
6/8/2024 12:00:00 AM,6,6,1431.0,IAH,DFW,29.0,27.0,0.0,,0.0,0.0,6.0,0.0,21.0,True
10/5/2024 0:00,10,6,1849.0,CLT,PDX,44.0,34.0,0.0,,0.0,0.0,34.0,0.0,0.0,True
7/1/2024 0:00,7,1,2454.0,DEN,OMA,2.0,19.0,0.0,,0.0,19.0,0.0,0.0,0.0,True
7/17/2024 0:00,7,3,114.0,MCO,AUS,78.0,68.0,0.0,,0.0,68.0,0.0,0.0,0.0,True
7/29/2024 0:00,7,1,1932.0,MIA,PHX,1.0,51.0,0.0,,1.0,50.0,0.0,0.0,0.0,True
3/27/2024 12:00:00 AM,3,3,2679.0,DFW,SRQ,49.0,111.0,0.0,,0.0,111.0,0.0,0.0,0.0,True
6/14/24 0:00,6,5,4825.0,CLT,LGA,78.0,108.0,0.0,,0.0,108.0,0.0,0.0,0.0,True
4/5/2024 12:00:00 AM,4,5,1923.0,DFW,RNO,-1.0,19.0,0.0,,0.0,19.0,0.0,0.0,0.0,True
6/3/2024 12:00:00 AM,6,1,1906.0,RDU,CLT,27.0,21.0,0.0,,0.0,0.0,21.0,0.0,0.0,True
6/27/2024 12:00:00 AM,6,4,2157.0,DEN,LAX,41.0,68.0,0.0,,0.0,27.0,41.0,0.0,0.0,True
3/1/2024 12:00:00 AM,3,5,1478.0,LAS,OMA,21.0,16.0,0.0,,0.0,0.0,16.0,0.0,0.0,True
2/11/2024 12:00:00 AM,2,7,1443.0,SRQ,CLT,85.0,88.0,0.0,,0.0,3.0,0.0,0.0,85.0,True
12/2/2024 12:00:00 AM,12,1,3227.0,TUL,DAL,49.0,36.0,0.0,,0.0,0.0,4.0,0.0,32.0,True
3/15/2024 12:00:00 AM,3,5,1899.0,LAX,IND,64.0,56.0,0.0,,0.0,0.0,0.0,0.0,56.0,True
11/21/24 0:00,11,4,3928.0,IAD,JFK,80.0,85.0,0.0,,0.0,85.0,0.0,0.0,0.0,True
3/20/2024 12:00:00 AM,3,3,5222.0,CLT,CHS,337.0,337.0,0.0,,0.0,0.0,0.0,0.0,337.0,True
7/30/2024 0:00,7,2,585.0,CLT,CLE,80.0,77.0,0.0,,14.0,0.0,0.0,0.0,63.0,True
12/26/2024 12:00:00 AM,12,4,1587.0,SFO,RDU,92.0,71.0,0.0,,0.0,0.0,7.0,0.0,64.0,True
3/18/2024 12:00:00 AM,3,1,3823.0,LRD,DFW,54.0,45.0,0.0,,0.0,0.0,0.0,0.0,45.0,True
1/23/2024 12:00:00 AM,1,2,4029.0,OKC,SLC,163.0,138.0,0.0,,0.0,0.0,138.0,0.0,0.0,True
7/6/2024 0:00,7,6,875.0,MDW,PWM,-3.0,17.0,0.0,,0.0,17.0,0.0,0.0,0.0,True
12/30/2024 12:00:00 AM,12,1,1992.0,LAS,BOI,44.0,64.0,0.0,,0.0,20.0,0.0,0.0,44.0,True
8/26/2024 0:00,8,1,1092.0,MCO,BWI,3.0,19.0,0.0,,0.0,19.0,0.0,0.0,0.0,True
2/5/2024 12:00:00 AM,2,1,2441.0,CVG,ATL,64.0,51.0,0.0,,0.0,0.0,51.0,0.0,0.0,True
11/18/24 0:00,11,1,3831.0,PVD,DTW,21.0,33.0,0.0,,0.0,12.0,21.0,0.0,0.0,True
6/17/24 0:00,6,1,2187.0,HNL,ITO,86.0,78.0,0.0,,0.0,0.0,78.0,0.0,0.0,True
2/22/2024 12:00:00 AM,2,4,1368.0,SJU,DEN,2.0,35.0,0.0,,0.0,35.0,0.0,0.0,0.0,True
2/14/2024 12:00:00 AM,2,3,4683.0,CAE,ORD,-6.0,16.0,0.0,,0.0,0.0,16.0,0.0,0.0,True
7/14/2024 0:00,7,7,1217.0,ATL,RSW,112.0,102.0,0.0,,0.0,0.0,1.0,0.0,101.0,True
8/5/2024 0:00,8,1,3266.0,DEN,PHL,31.0,18.0,0.0,,0.0,0.0,18.0,0.0,0.0,True
10/27/2024 0:00,10,7,1861.0,SAN,SMF,50.0,46.0,0.0,,0.0,0.0,1.0,0.0,45.0,True
1/24/2024 12:00:00 AM,1,3,3946.0,DFW,HSV,65.0,63.0,0.0,,0.0,0.0,9.0,0.0,54.0,True
6/17/24 0:00,6,1,3227.0,BWI,LAX,28.0,26.0,0.0,,0.0,0.0,8.0,0.0,18.0,True
10/21/2024 0:00,10,1,1210.0,SLC,SAN,325.0,357.0,0.0,,0.0,32.0,325.0,0.0,0.0,True
4/27/2024 12:00:00 AM,4,6,565.0,BOS,RSW,83.0,80.0,0.0,,0.0,0.0,80.0,0.0,0.0,True
1/17/2024 12:00:00 AM,1,3,1245.0,SAN,PDX,,,1.0,A,,,,,,False
7/19/2024 0:00,7,5,1810.0,FLL,PHL,55.0,34.0,0.0,,0.0,1.0,14.0,0.0,19.0,True
1/31/2024 12:00:00 AM,1,3,1190.0,SAN,JFK,1.0,25.0,0.0,,0.0,24.0,1.0,0.0,0.0,True
4/25/2024 12:00:00 AM,4,4,4095.0,ATL,FWA,23.0,23.0,0.0,,0.0,0.0,23.0,0.0,0.0,True
12/4/2024 12:00:00 AM,12,3,1031.0,DFW,ABQ,33.0,24.0,0.0,,0.0,0.0,24.0,0.0,0.0,True
1/19/2024 12:00:00 AM,1,5,1190.0,CMH,TPA,185.0,188.0,0.0,,0.0,3.0,81.0,0.0,104.0,True
10/16/2024 0:00,10,3,2056.0,FLL,MSY,25.0,24.0,0.0,,0.0,0.0,24.0,0.0,0.0,True
6/22/24 0:00,6,6,1200.0,ROC,ATL,222.0,214.0,0.0,,0.0,0.0,0.0,0.0,214.0,True
7/22/2024 0:00,7,1,2737.0,MLB,PIT,74.0,74.0,0.0,,0.0,4.0,70.0,0.0,0.0,True
6/26/24 0:00,6,3,457.0,MIA,MCO,196.0,184.0,0.0,,0.0,0.0,155.0,0.0,29.0,True
6/11/24 0:00,6,2,3020.0,PDX,SFO,36.0,106.0,0.0,,0.0,70.0,16.0,0.0,20.0,True
8/11/2024 0:00,8,7,161.0,SAN,DEN,21.0,25.0,0.0,,0.0,4.0,14.0,0.0,7.0,True
2/19/2024 12:00:00 AM,2,1,1871.0,MIA,PHL,76.0,53.0,0.0,,0.0,0.0,3.0,0.0,50.0,True
4/6/2024 12:00:00 AM,4,6,2195.0,SLC,DFW,-4.0,23.0,0.0,,0.0,23.0,0.0,0.0,0.0,True
3/11/2024 12:00:00 AM,3,1,3870.0,STL,MDW,24.0,21.0,0.0,,0.0,0.0,0.0,0.0,21.0,True
1/24/2024 12:00:00 AM,1,3,5349.0,DCA,CID,,,1.0,B,,,,,,False
4/17/2024 12:00:00 AM,4,3,877.0,SFO,HNL,51.0,114.0,0.0,,0.0,114.0,0.0,0.0,0.0,True
1/15/2024 12:00:00 AM,1,1,2664.0,IAH,JAX,,,1.0,B,,,,,,False
2/4/2024 12:00:00 AM,2,7,5887.0,BUR,SFO,,,1.0,B,,,,,,False
10/10/2024 0:00,10,4,4857.0,LAX,SFO,113.0,120.0,0.0,,0.0,7.0,0.0,0.0,113.0,True
11/21/24 0:00,11,4,5609.0,LGA,BOS,44.0,53.0,0.0,,0.0,53.0,0.0,0.0,0.0,True
6/26/24 0:00,6,3,5276.0,LGA,BDL,,,1.0,C,,,,,,False
11/6/24 0:00,11,3,5789.0,DEN,HDN,-1.0,27.0,0.0,,0.0,0.0,27.0,0.0,0.0,True
6/25/24 0:00,6,2,964.0,GEG,SEA,5.0,17.0,0.0,,0.0,17.0,0.0,0.0,0.0,True
10/4/2024 0:00,10,5,2078.0,SMF,DFW,-6.0,18.0,0.0,,0.0,18.0,0.0,0.0,0.0,True
1/12/2024 12:00:00 AM,1,5,2726.0,ATL,BNA,17.0,31.0,0.0,,0.0,14.0,8.0,0.0,9.0,True
10/27/2024 0:00,10,7,2132.0,PBG,FLL,21.0,23.0,0.0,,0.0,2.0,21.0,0.0,0.0,True
6/29/24 0:00,6,6,1451.0,MIA,IAH,175.0,186.0,0.0,,0.0,11.0,7.0,0.0,168.0,True
3/16/2024 12:00:00 AM,3,6,5112.0,DFW,CHA,74.0,74.0,0.0,,74.0,0.0,0.0,0.0,0.0,True
7/29/2024 0:00,7,1,394.0,SEA,MCO,56.0,48.0,0.0,,0.0,0.0,0.0,0.0,48.0,True
4/22/2024 12:00:00 AM,4,1,1138.0,SEA,SBA,1.0,17.0,0.0,,0.0,17.0,0.0,0.0,0.0,True
2/2/2024 12:00:00 AM,2,5,499.0,LAX,BWI,5.0,18.0,0.0,,0.0,18.0,0.0,0.0,0.0,True
7/19/2024 0:00,7,5,1168.0,FLL,ATL,230.0,221.0,0.0,,0.0,0.0,221.0,0.0,0.0,True
4/1/2024 12:00:00 AM,4,1,3534.0,DFW,MDW,101.0,91.0,0.0,,0.0,0.0,0.0,0.0,91.0,True
1/24/2024 12:00:00 AM,1,3,5448.0,VPS,CLT,,,1.0,B,,,,,,False
1/13/2024 12:00:00 AM,1,6,1698.0,MIA,JFK,68.0,52.0,0.0,,0.0,0.0,9.0,0.0,43.0,True
6/9/2024 12:00:00 AM,6,7,3421.0,PSP,SEA,57.0,36.0,0.0,,0.0,0.0,36.0,0.0,0.0,True
8/9/2024 0:00,8,5,3188.0,RNO,LAS,228.0,220.0,0.0,,0.0,0.0,0.0,0.0,220.0,True
7/2/2024 0:00,7,2,5298.0,BDL,DCA,31.0,15.0,0.0,,0.0,0.0,1.0,0.0,14.0,True
6/2/2024 12:00:00 AM,6,7,369.0,BNA,SEA,-2.0,43.0,0.0,,0.0,43.0,0.0,0.0,0.0,True
11/3/24 0:00,11,7,1056.0,DFW,ABQ,69.0,67.0,0.0,,2.0,0.0,0.0,0.0,65.0,True
6/13/2024 12:00:00 AM,6,4,2548.0,CAK,PGD,250.0,266.0,0.0,,0.0,97.0,0.0,0.0,169.0,True
10/12/2024 0:00,10,6,562.0,SMF,LGB,173.0,172.0,0.0,,0.0,172.0,0.0,0.0,0.0,True
1/23/2024 12:00:00 AM,1,2,2329.0,DEN,ORD,27.0,49.0,0.0,,0.0,22.0,8.0,0.0,19.0,True
3/15/2024 12:00:00 AM,3,5,1416.0,PHL,BOS,71.0,71.0,0.0,,0.0,0.0,0.0,0.0,71.0,True
12/16/2024 12:00:00 AM,12,1,1268.0,IAH,PDX,29.0,68.0,0.0,,0.0,39.0,29.0,0.0,0.0,True
8/23/2024 0:00,8,5,3393.0,SLC,SFO,27.0,40.0,0.0,,0.0,13.0,0.0,0.0,27.0,True
4/15/2024 12:00:00 AM,4,1,2619.0,PSP,SFO,27.0,31.0,0.0,,0.0,31.0,0.0,0.0,0.0,True
11/15/24 0:00,11,5,622.0,PBI,BOS,17.0,19.0,0.0,,0.0,2.0,17.0,0.0,0.0,True
11/10/24 0:00,11,7,739.0,LAS,LAX,102.0,86.0,0.0,,0.0,0.0,67.0,0.0,19.0,True
1/19/2024 12:00:00 AM,1,5,1961.0,LAS,IAD,,,1.0,A,,,,,,False
6/22/2024 12:00:00 AM,6,6,2538.0,BTV,MSP,164.0,156.0,0.0,,0.0,0.0,74.0,0.0,82.0,True
6/12/2024 12:00:00 AM,6,3,2386.0,CLT,CID,63.0,47.0,0.0,,0.0,0.0,3.0,0.0,44.0,True
8/30/2024 0:00,8,5,1069.0,ORD,TPA,297.0,269.0,0.0,,0.0,201.0,68.0,0.0,0.0,True
10/17/2024 0:00,10,4,3099.0,AVL,ATL,30.0,20.0,0.0,,0.0,0.0,0.0,0.0,20.0,True
6/14/24 0:00,6,5,417.0,SEA,CLE,39.0,17.0,0.0,,0.0,0.0,0.0,0.0,17.0,True
3/30/2024 12:00:00 AM,3,6,3831.0,DFW,MHK,43.0,25.0,0.0,,0.0,0.0,4.0,0.0,21.0,True
3/27/2024 12:00:00 AM,3,3,2482.0,PDX,SFO,45.0,61.0,0.0,,0.0,61.0,0.0,0.0,0.0,True
8/30/2024 0:00,8,5,2096.0,DEN,PIT,39.0,22.0,0.0,,0.0,0.0,0.0,0.0,22.0,True
10/15/2024 0:00,10,2,1737.0,PSP,SFO,10.0,17.0,0.0,,0.0,7.0,5.0,0.0,5.0,True
2/4/2024 12:00:00 AM,2,7,4055.0,MSP,CLE,44.0,19.0,0.0,,0.0,0.0,19.0,0.0,0.0,True
7/20/2024 0:00,7,6,1575.0,EWR,CLT,62.0,66.0,0.0,,0.0,4.0,62.0,0.0,0.0,True
8/21/2024 0:00,8,3,2329.0,MIA,PHL,99.0,74.0,0.0,,0.0,0.0,13.0,0.0,61.0,True
8/25/2024 0:00,8,7,197.0,BOS,SEA,-2.0,20.0,0.0,,0.0,20.0,0.0,0.0,0.0,True
6/1/2024 12:00:00 AM,6,6,5648.0,OGG,OAK,8.0,21.0,0.0,,0.0,13.0,8.0,0.0,0.0,True
8/4/2024 0:00,8,7,3417.0,DCA,MCO,103.0,101.0,0.0,,101.0,0.0,0.0,0.0,0.0,True
4/20/2024 12:00:00 AM,4,6,639.0,DEN,MSO,14.0,15.0,0.0,,0.0,1.0,0.0,0.0,14.0,True
10/9/2024 0:00,10,3,4229.0,PIT,MCO,,,1.0,B,,,,,,False
7/10/2024 0:00,7,3,5367.0,XWA,DEN,55.0,41.0,0.0,,0.0,0.0,41.0,0.0,0.0,True
7/17/2024 0:00,7,3,3967.0,HSV,DFW,131.0,131.0,0.0,,0.0,0.0,23.0,0.0,108.0,True
7/25/2024 0:00,7,4,2709.0,DFW,PSP,16.0,16.0,0.0,,0.0,0.0,16.0,0.0,0.0,True
10/19/2024 0:00,10,6,347.0,PHL,MCO,26.0,24.0,0.0,,0.0,0.0,9.0,0.0,15.0,True
3/20/2024 12:00:00 AM,3,3,5182.0,BGR,DCA,30.0,43.0,0.0,,0.0,13.0,0.0,0.0,30.0,True
8/16/2024 0:00,8,5,4054.0,MKE,DEN,153.0,141.0,0.0,,0.0,0.0,135.0,0.0,6.0,True
7/19/2024 0:00,7,5,2403.0,EWR,LAX,,,1.0,A,,,,,,False
11/27/24 0:00,11,3,2002.0,EYW,EWR,15.0,15.0,0.0,,0.0,0.0,15.0,0.0,0.0,True
4/23/2024 12:00:00 AM,4,2,1358.0,MCO,BOS,312.0,309.0,0.0,,0.0,0.0,309.0,0.0,0.0,True
6/7/2024 12:00:00 AM,6,5,2631.0,CKB,PIE,157.0,155.0,0.0,,0.0,0.0,155.0,0.0,0.0,True
6/10/24 0:00,6,1,753.0,LAX,ATL,60.0,53.0,0.0,,0.0,0.0,0.0,0.0,53.0,True
2/16/2024 12:00:00 AM,2,5,4573.0,STL,CLT,40.0,50.0,0.0,,0.0,10.0,0.0,0.0,40.0,True
7/10/2024 0:00,7,3,2885.0,MKE,MSP,24.0,19.0,0.0,,0.0,0.0,0.0,0.0,19.0,True
6/12/24 0:00,6,3,2534.0,AUS,SJC,68.0,74.0,0.0,,0.0,6.0,23.0,0.0,45.0,True
10/6/2024 0:00,10,7,915.0,LAX,JFK,62.0,69.0,0.0,,0.0,7.0,13.0,0.0,49.0,True
2/28/2024 12:00:00 AM,2,3,2191.0,MIA,CLT,33.0,42.0,0.0,,0.0,9.0,33.0,0.0,0.0,True
1/13/2024 12:00:00 AM,1,6,2625.0,STL,DEN,108.0,115.0,0.0,,0.0,7.0,5.0,0.0,103.0,True
3/9/2024 12:00:00 AM,3,6,4615.0,GRR,MDW,22.0,28.0,0.0,,0.0,6.0,0.0,0.0,22.0,True
4/11/2024 12:00:00 AM,4,4,2755.0,ORF,ATL,25.0,30.0,0.0,,0.0,5.0,0.0,0.0,25.0,True
7/15/2024 0:00,7,1,3641.0,DTW,BHM,100.0,101.0,0.0,,0.0,1.0,100.0,0.0,0.0,True
7/22/2024 0:00,7,1,2110.0,BOS,LAX,101.0,76.0,0.0,,0.0,11.0,0.0,0.0,65.0,True
8/19/2024 0:00,8,1,5357.0,BTV,LGA,37.0,35.0,0.0,,8.0,0.0,0.0,0.0,27.0,True
6/26/2024 12:00:00 AM,6,3,4079.0,PHL,DEN,418.0,448.0,0.0,,0.0,30.0,418.0,0.0,0.0,True
1/3/2024 12:00:00 AM,1,3,1247.0,SAN,SMF,63.0,58.0,0.0,,0.0,0.0,4.0,0.0,54.0,True
12/11/2024 12:00:00 AM,12,3,4374.0,BWI,TPA,18.0,22.0,0.0,,0.0,4.0,0.0,0.0,18.0,True
8/14/2024 0:00,8,3,3635.0,MIA,JAX,35.0,24.0,0.0,,24.0,0.0,0.0,0.0,0.0,True
6/14/24 0:00,6,5,198.0,FLL,MCO,132.0,116.0,0.0,,116.0,0.0,0.0,0.0,0.0,True
4/4/2024 12:00:00 AM,4,4,1213.0,BWI,DFW,43.0,22.0,0.0,,0.0,0.0,3.0,0.0,19.0,True
6/5/24 0:00,6,3,2984.0,ATL,DAL,135.0,119.0,0.0,,0.0,0.0,0.0,0.0,119.0,True
3/16/2024 12:00:00 AM,3,6,3431.0,EWR,CMH,75.0,91.0,0.0,,0.0,16.0,61.0,0.0,14.0,True
10/6/2024 0:00,10,7,4616.0,DEN,MSP,76.0,74.0,0.0,,0.0,0.0,50.0,0.0,24.0,True
11/22/24 0:00,11,5,5787.0,ORF,LGA,-2.0,21.0,0.0,,0.0,21.0,0.0,0.0,0.0,True
2/13/2024 12:00:00 AM,2,2,1309.0,SRQ,EWR,,,1.0,B,,,,,,False
6/18/2024 12:00:00 AM,6,2,3648.0,BUR,LAS,82.0,89.0,0.0,,0.0,7.0,0.0,0.0,82.0,True
3/3/2024 12:00:00 AM,3,7,307.0,JAC,ATL,2.0,33.0,0.0,,0.0,33.0,0.0,0.0,0.0,True
6/3/24 0:00,6,1,2779.0,DFW,LGA,37.0,27.0,0.0,,0.0,0.0,27.0,0.0,0.0,True
7/25/2024 0:00,7,4,3849.0,SLC,TWF,57.0,48.0,0.0,,0.0,0.0,48.0,0.0,0.0,True
