FL_DATE,MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,DEP_DELAY,ARR_DELAY,CANCELLED,CANCELLATION_CODE,WEATHER_DELAY,NAS_DELAY,CARRIER_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DELAYED
6/30/2023 12:00:00 AM,6,5,F9,2445,PHX,CLE,51.0,32.0,0.0,,0.0,0.0,0.0,0.0,32.0,True
3/10/2023 12:00:00 AM,3,5,WN,1167,SLC,PHX,21.0,21.0,0.0,,0.0,0.0,0.0,0.0,21.0,True
8/8/2023 12:00:00 AM,8,2,OO,5735,MSN,ORD,36.0,32.0,0.0,,0.0,0.0,0.0,0.0,32.0,True
11/28/2023 12:00:00 AM,11,2,UA,510,EWR,CLE,111.0,109.0,0.0,,0.0,0.0,46.0,0.0,63.0,True
2/14/2023 12:00:00 AM,2,2,B6,1566,SAT,BOS,6.0,27.0,0.0,,0.0,21.0,6.0,0.0,0.0,True
12/3/2023 12:00:00 AM,12,7,AA,2901,LAX,CLT,34.0,18.0,0.0,,0.0,0.0,0.0,0.0,18.0,True
6/18/2023 12:00:00 AM,6,7,B6,1146,FLL,RIC,155.0,143.0,0.0,,0.0,0.0,21.0,0.0,122.0,True
11/2/2023 12:00:00 AM,11,4,OO,5394,ORD,OMA,93.0,82.0,0.0,,0.0,0.0,0.0,0.0,82.0,True
6/24/2023 12:00:00 AM,6,6,B6,430,MCO,BQN,34.0,38.0,0.0,,34.0,4.0,0.0,0.0,0.0,True
9/28/2023 12:00:00 AM,9,4,WN,101,BWI,MCO,3.0,36.0,0.0,,0.0,36.0,0.0,0.0,0.0,True
8/14/2023 12:00:00 AM,8,1,AA,1624,ORD,DEN,89.0,89.0,0.0,,0.0,0.0,4.0,0.0,85.0,True
11/1/2023 12:00:00 AM,11,3,AA,1109,ORD,DFW,65.0,46.0,0.0,,0.0,0.0,46.0,0.0,0.0,True
8/20/2023 12:00:00 AM,8,7,B6,80,RNO,JFK,10.0,23.0,0.0,,0.0,22.0,0.0,0.0,1.0,True
5/21/2023 12:00:00 AM,5,7,AS,281,MSP,SEA,25.0,15.0,0.0,,0.0,0.0,15.0,0.0,0.0,True
8/30/2023 12:00:00 AM,8,3,WN,883,BWI,CMH,45.0,43.0,0.0,,0.0,0.0,13.0,0.0,30.0,True
9/10/2023 12:00:00 AM,9,7,MQ,3852,LBB,DFW,65.0,58.0,0.0,,0.0,0.0,0.0,0.0,58.0,True
12/26/2023 12:00:00 AM,12,2,UA,1500,ORD,DCA,29.0,28.0,0.0,,0.0,0.0,28.0,0.0,0.0,True
6/18/2023 12:00:00 AM,6,7,DL,1454,MSP,DEN,88.0,77.0,0.0,,0.0,0.0,66.0,0.0,11.0,True
4/20/2023 12:00:00 AM,4,4,AA,2264,DFW,PNS,-6.0,101.0,0.0,,0.0,101.0,0.0,0.0,0.0,True
6/14/2023 12:00:00 AM,6,3,B6,955,BOS,DCA,101.0,92.0,0.0,,78.0,0.0,0.0,0.0,14.0,True
10/19/2023 12:00:00 AM,10,4,DL,2758,PHX,MSP,-3.0,15.0,0.0,,0.0,15.0,0.0,0.0,0.0,True
3/17/2023 12:00:00 AM,3,5,WN,1368,LAS,MKE,65.0,56.0,0.0,,0.0,0.0,0.0,0.0,56.0,True
4/26/2023 12:00:00 AM,4,3,MQ,3321,DFW,HOU,,,1.0,B,,,,,,False
8/1/2023 12:00:00 AM,8,2,B6,2747,LGA,SAV,103.0,91.0,0.0,,0.0,0.0,18.0,0.0,73.0,True
8/10/2023 12:00:00 AM,8,4,WN,2978,AUS,MSY,29.0,24.0,0.0,,0.0,0.0,6.0,0.0,18.0,True
12/26/2023 12:00:00 AM,12,2,UA,510,DEN,ORD,-2.0,18.0,0.0,,0.0,18.0,0.0,0.0,0.0,True
1/11/2023 12:00:00 AM,1,3,DL,2986,SLC,BZN,34.0,20.0,0.0,,0.0,0.0,4.0,0.0,16.0,True
6/22/2023 12:00:00 AM,6,4,WN,3228,HOU,MSY,113.0,97.0,0.0,,0.0,0.0,0.0,0.0,97.0,True
8/7/2023 12:00:00 AM,8,1,G4,2,BIL,LAS,16.0,23.0,0.0,,0.0,7.0,0.0,0.0,16.0,True
10/8/2023 12:00:00 AM,10,7,WN,963,MSY,MCI,18.0,15.0,0.0,,0.0,0.0,7.0,0.0,8.0,True
7/10/2023 12:00:00 AM,7,1,UA,2496,SLC,IAH,14.0,27.0,0.0,,0.0,13.0,12.0,0.0,2.0,True
7/4/2023 12:00:00 AM,7,2,UA,1411,SFO,EWR,-8.0,59.0,0.0,,0.0,59.0,0.0,0.0,0.0,True
7/30/2023 12:00:00 AM,7,7,AA,2760,LAS,PHX,39.0,41.0,0.0,,2.0,2.0,0.0,0.0,37.0,True
10/16/2023 12:00:00 AM,10,1,AA,2046,SJC,DFW,43.0,36.0,0.0,,0.0,0.0,36.0,0.0,0.0,True
10/13/2023 12:00:00 AM,10,5,F9,2302,DFW,PHL,232.0,201.0,0.0,,0.0,0.0,69.0,0.0,132.0,True
5/25/2023 12:00:00 AM,5,4,F9,154,ATL,PHL,162.0,148.0,0.0,,0.0,0.0,63.0,0.0,85.0,True
2/27/2023 12:00:00 AM,2,1,WN,1246,DAL,SAT,45.0,35.0,0.0,,0.0,0.0,35.0,0.0,0.0,True
6/29/2023 12:00:00 AM,6,4,DL,1392,MCO,DTW,-6.0,20.0,0.0,,0.0,20.0,0.0,0.0,0.0,True
4/11/2023 12:00:00 AM,4,2,DL,1113,MIA,BOS,22.0,20.0,0.0,,0.0,2.0,5.0,0.0,13.0,True
12/1/2023 12:00:00 AM,12,5,AA,2687,RDU,PHL,3.0,16.0,0.0,,0.0,13.0,3.0,0.0,0.0,True
9/13/2023 12:00:00 AM,9,3,UA,1420,EWR,MIA,-3.0,17.0,0.0,,0.0,17.0,0.0,0.0,0.0,True
7/14/2023 12:00:00 AM,7,5,AA,1201,DFW,VPS,90.0,72.0,0.0,,0.0,0.0,22.0,0.0,50.0,True
11/26/2023 12:00:00 AM,11,7,UA,1720,IAH,ATL,47.0,37.0,0.0,,0.0,0.0,37.0,0.0,0.0,True
5/7/2023 12:00:00 AM,5,7,G4,45,LAS,RNO,9.0,43.0,0.0,,0.0,34.0,0.0,0.0,9.0,True
5/1/2023 12:00:00 AM,5,1,HA,18,HNL,LAS,211.0,202.0,0.0,,0.0,0.0,202.0,0.0,0.0,True
7/24/2023 12:00:00 AM,7,1,NK,2324,BOS,SJU,74.0,80.0,0.0,,0.0,80.0,0.0,0.0,0.0,True
12/31/2023 12:00:00 AM,12,7,G4,434,DSM,BNA,63.0,64.0,0.0,,0.0,1.0,63.0,0.0,0.0,True
8/20/2023 12:00:00 AM,8,7,NK,397,FLL,ACY,47.0,40.0,0.0,,0.0,1.0,13.0,0.0,26.0,True
6/5/2023 12:00:00 AM,6,1,MQ,4146,DFW,AMA,56.0,52.0,0.0,,0.0,0.0,52.0,0.0,0.0,True
4/15/2023 12:00:00 AM,4,6,AA,1296,IND,DFW,46.0,31.0,0.0,,0.0,0.0,31.0,0.0,0.0,True
4/28/2023 12:00:00 AM,4,5,UA,1316,EWR,AUS,42.0,18.0,0.0,,0.0,0.0,2.0,0.0,16.0,True
11/23/2023 12:00:00 AM,11,4,F9,2633,BWI,ATL,6.0,22.0,0.0,,0.0,16.0,0.0,0.0,6.0,True
10/13/2023 12:00:00 AM,10,5,NK,727,EWR,OAK,10.0,26.0,0.0,,0.0,26.0,0.0,0.0,0.0,True
5/22/2023 12:00:00 AM,5,1,WN,278,ATL,JAX,30.0,20.0,0.0,,0.0,0.0,20.0,0.0,0.0,True
4/6/2023 12:00:00 AM,4,4,B6,1868,PBI,HPN,61.0,105.0,0.0,,0.0,44.0,6.0,0.0,55.0,True
2/23/2023 12:00:00 AM,2,4,OO,3062,PHX,GJT,182.0,173.0,0.0,,0.0,0.0,173.0,0.0,0.0,True
4/14/2023 12:00:00 AM,4,5,WN,1561,DEN,SMF,50.0,51.0,0.0,,0.0,1.0,10.0,0.0,40.0,True
6/27/2023 12:00:00 AM,6,2,UA,1949,IAD,CHS,644.0,636.0,0.0,,0.0,0.0,636.0,0.0,0.0,True
5/4/2023 12:00:00 AM,5,4,AA,2935,SAN,CLT,65.0,37.0,0.0,,0.0,0.0,14.0,0.0,23.0,True
4/23/2023 12:00:00 AM,4,7,UA,2376,MSY,IAH,28.0,35.0,0.0,,0.0,7.0,16.0,0.0,12.0,True
11/10/2023 12:00:00 AM,11,5,NK,1159,BDL,MYR,23.0,37.0,0.0,,0.0,14.0,0.0,0.0,23.0,True
5/14/2023 12:00:00 AM,5,7,WN,1474,SAN,DEN,17.0,28.0,0.0,,0.0,11.0,2.0,0.0,15.0,True
2/23/2023 12:00:00 AM,2,4,AA,341,JFK,LAX,-8.0,30.0,0.0,,0.0,30.0,0.0,0.0,0.0,True
6/14/2023 12:00:00 AM,6,3,AA,1878,DFW,EWR,77.0,71.0,0.0,,0.0,71.0,0.0,0.0,0.0,True
5/8/2023 12:00:00 AM,5,1,OH,5618,CLT,ROA,-10.0,21.0,0.0,,0.0,21.0,0.0,0.0,0.0,True
7/26/2023 12:00:00 AM,7,3,WN,2885,SAN,SMF,43.0,34.0,0.0,,0.0,0.0,0.0,0.0,34.0,True
4/6/2023 12:00:00 AM,4,4,DL,2311,LAX,SLC,31.0,21.0,0.0,,0.0,1.0,0.0,0.0,20.0,True
5/27/2023 12:00:00 AM,5,6,DL,1736,SAV,DTW,53.0,48.0,0.0,,0.0,0.0,48.0,0.0,0.0,True
6/2/2023 12:00:00 AM,6,5,AS,374,SFO,EWR,-6.0,21.0,0.0,,0.0,21.0,0.0,0.0,0.0,True
3/31/2023 12:00:00 AM,3,5,AA,1287,AUS,DFW,48.0,58.0,0.0,,31.0,10.0,0.0,0.0,17.0,True
2/24/2023 12:00:00 AM,2,5,UA,1790,EWR,DEN,19.0,28.0,0.0,,0.0,9.0,19.0,0.0,0.0,True
5/29/2023 12:00:00 AM,5,1,AA,2501,VPS,DFW,293.0,278.0,0.0,,0.0,0.0,0.0,0.0,278.0,True
1/25/2023 12:00:00 AM,1,3,YX,4408,DCA,SDF,34.0,40.0,0.0,,0.0,6.0,0.0,0.0,34.0,True
1/19/2023 12:00:00 AM,1,4,AA,2538,RNO,DFW,23.0,35.0,0.0,,0.0,12.0,0.0,0.0,23.0,True
7/28/2023 12:00:00 AM,7,5,WN,749,DEN,MCI,254.0,256.0,0.0,,0.0,2.0,11.0,0.0,243.0,True
7/2/2023 12:00:00 AM,7,7,G4,1935,BNA,PSM,294.0,288.0,0.0,,0.0,0.0,104.0,0.0,184.0,True
7/14/2023 12:00:00 AM,7,5,WN,161,BWI,RSW,15.0,93.0,0.0,,0.0,78.0,0.0,0.0,15.0,True
3/16/2023 12:00:00 AM,3,4,OO,3723,MSP,CID,0.0,30.0,0.0,,0.0,0.0,30.0,0.0,0.0,True
12/27/2023 12:00:00 AM,12,3,NK,3157,MIA,DFW,34.0,69.0,0.0,,0.0,67.0,2.0,0.0,0.0,True
8/10/2023 12:00:00 AM,8,4,AA,2316,CLT,BWI,45.0,49.0,0.0,,0.0,4.0,9.0,0.0,36.0,True
12/13/2023 12:00:00 AM,12,3,WN,1798,CVG,MDW,28.0,15.0,0.0,,0.0,0.0,0.0,0.0,15.0,True
12/10/2023 12:00:00 AM,12,7,B6,1146,FLL,RIC,117.0,108.0,0.0,,0.0,0.0,16.0,0.0,92.0,True
7/21/2023 12:00:00 AM,7,5,UA,1101,BOI,DEN,0.0,36.0,0.0,,0.0,36.0,0.0,0.0,0.0,True
4/25/2023 12:00:00 AM,4,2,F9,777,DEN,LAS,137.0,132.0,0.0,,0.0,109.0,0.0,0.0,23.0,True
1/4/2023 12:00:00 AM,1,3,WN,2440,HOU,PHX,34.0,29.0,0.0,,0.0,0.0,0.0,29.0,0.0,True
10/11/2023 12:00:00 AM,10,3,F9,1515,MIA,ATL,30.0,18.0,0.0,,0.0,0.0,18.0,0.0,0.0,True
11/5/2023 12:00:00 AM,11,7,WN,2323,MCI,BWI,18.0,15.0,0.0,,0.0,0.0,15.0,0.0,0.0,True
4/5/2023 12:00:00 AM,4,3,UA,1175,SFO,HNL,12.0,27.0,0.0,,0.0,15.0,12.0,0.0,0.0,True
12/26/2023 12:00:00 AM,12,2,AA,2629,ORD,LGA,41.0,90.0,0.0,,0.0,49.0,2.0,0.0,39.0,True
4/20/2023 12:00:00 AM,4,4,WN,2891,ATL,MDW,25.0,30.0,0.0,,0.0,5.0,0.0,0.0,25.0,True
1/17/2023 12:00:00 AM,1,2,WN,2438,LAX,DEN,,,1.0,B,,,,,,False
9/1/2023 12:00:00 AM,9,5,DL,513,AUS,LAX,50.0,48.0,0.0,,0.0,0.0,0.0,0.0,48.0,True
7/27/2023 12:00:00 AM,7,4,B6,2,JFK,BUF,56.0,85.0,0.0,,0.0,29.0,56.0,0.0,0.0,True
8/10/2023 12:00:00 AM,8,4,AA,2909,CLT,VPS,35.0,32.0,0.0,,0.0,0.0,0.0,0.0,32.0,True
12/22/2023 12:00:00 AM,12,5,WN,332,BUR,PHX,22.0,29.0,0.0,,0.0,29.0,0.0,0.0,0.0,True
7/28/2023 12:00:00 AM,7,5,DL,2395,ATL,CVG,77.0,103.0,0.0,,0.0,26.0,15.0,0.0,62.0,True
9/8/2023 12:00:00 AM,9,5,9E,5052,LGA,RDU,,,1.0,C,,,,,,False
6/14/2023 12:00:00 AM,6,3,WN,826,MDW,AUS,16.0,21.0,0.0,,0.0,5.0,16.0,0.0,0.0,True
10/3/2023 12:00:00 AM,10,2,UA,1637,LAX,EWR,87.0,104.0,0.0,,0.0,17.0,87.0,0.0,0.0,True
7/19/2023 12:00:00 AM,7,3,DL,2395,ATL,CVG,23.0,18.0,0.0,,0.0,0.0,18.0,0.0,0.0,True
6/23/2023 12:00:00 AM,6,5,AS,305,SEA,MIA,28.0,15.0,0.0,,0.0,0.0,15.0,0.0,0.0,True
2/24/2023 12:00:00 AM,2,5,WN,2050,LGA,MDW,15.0,23.0,0.0,,0.0,8.0,0.0,0.0,15.0,True
7/4/2023 12:00:00 AM,7,2,9E,5163,LGA,ROC,60.0,47.0,0.0,,0.0,0.0,47.0,0.0,0.0,True
6/30/2023 12:00:00 AM,6,5,NK,2511,ABQ,LAS,17.0,15.0,0.0,,0.0,15.0,0.0,0.0,0.0,True
